"region","type of property","variable","value","year"
"0461 Gnesta","one- or two dwelling buildings","non_residential",NA,2015
"0461 Gnesta","multi-dwelling and commercial buildings","non_residential","40",2015
"0461 Gnesta","industrial buildings","non_residential","56",2015
"0461 Gnesta","total","non_residential","96",2015
"0480 Nyköping","one- or two dwelling buildings","non_residential",NA,2015
"0480 Nyköping","multi-dwelling and commercial buildings","non_residential","479",2015
"0480 Nyköping","industrial buildings","non_residential","528",2015
"0480 Nyköping","total","non_residential","1007",2015
"0481 Oxelösund","one- or two dwelling buildings","non_residential",NA,2015
"0481 Oxelösund","multi-dwelling and commercial buildings","non_residential","79",2015
"0481 Oxelösund","industrial buildings","non_residential","335",2015
"0481 Oxelösund","total","non_residential","415",2015
"0482 Flen","one- or two dwelling buildings","non_residential",NA,2015
"0482 Flen","multi-dwelling and commercial buildings","non_residential","128",2015
"0482 Flen","industrial buildings","non_residential","157",2015
"0482 Flen","total","non_residential","285",2015
"0483 Katrineholm","one- or two dwelling buildings","non_residential",NA,2015
"0483 Katrineholm","multi-dwelling and commercial buildings","non_residential","247",2015
"0483 Katrineholm","industrial buildings","non_residential","408",2015
"0483 Katrineholm","total","non_residential","655",2015
"0484 Eskilstuna","one- or two dwelling buildings","non_residential",NA,2015
"0484 Eskilstuna","multi-dwelling and commercial buildings","non_residential","765",2015
"0484 Eskilstuna","industrial buildings","non_residential","997",2015
"0484 Eskilstuna","total","non_residential","1762",2015
"0486 Strängnäs","one- or two dwelling buildings","non_residential",NA,2015
"0486 Strängnäs","multi-dwelling and commercial buildings","non_residential","216",2015
"0486 Strängnäs","industrial buildings","non_residential","383",2015
"0486 Strängnäs","total","non_residential","599",2015
"0488 Trosa","one- or two dwelling buildings","non_residential",NA,2015
"0488 Trosa","multi-dwelling and commercial buildings","non_residential","44",2015
"0488 Trosa","industrial buildings","non_residential","109",2015
"0488 Trosa","total","non_residential","153",2015
"0509 Ödeshög","one- or two dwelling buildings","non_residential",NA,2015
"0509 Ödeshög","multi-dwelling and commercial buildings","non_residential","28",2015
"0509 Ödeshög","industrial buildings","non_residential","63",2015
"0509 Ödeshög","total","non_residential","91",2015
"0512 Ydre","one- or two dwelling buildings","non_residential",NA,2015
"0512 Ydre","multi-dwelling and commercial buildings","non_residential","10",2015
"0512 Ydre","industrial buildings","non_residential","49",2015
"0512 Ydre","total","non_residential","60",2015
"0513 Kinda","one- or two dwelling buildings","non_residential",NA,2015
"0513 Kinda","multi-dwelling and commercial buildings","non_residential","46",2015
"0513 Kinda","industrial buildings","non_residential","119",2015
"0513 Kinda","total","non_residential","165",2015
"0560 Boxholm","one- or two dwelling buildings","non_residential",NA,2015
"0560 Boxholm","multi-dwelling and commercial buildings","non_residential","24",2015
"0560 Boxholm","industrial buildings","non_residential","126",2015
"0560 Boxholm","total","non_residential","151",2015
"0561 Åtvidaberg","one- or two dwelling buildings","non_residential",NA,2015
"0561 Åtvidaberg","multi-dwelling and commercial buildings","non_residential","57",2015
"0561 Åtvidaberg","industrial buildings","non_residential","108",2015
"0561 Åtvidaberg","total","non_residential","165",2015
"0562 Finspång","one- or two dwelling buildings","non_residential",NA,2015
"0562 Finspång","multi-dwelling and commercial buildings","non_residential","182",2015
"0562 Finspång","industrial buildings","non_residential","326",2015
"0562 Finspång","total","non_residential","508",2015
"0563 Valdemarsvik","one- or two dwelling buildings","non_residential",NA,2015
"0563 Valdemarsvik","multi-dwelling and commercial buildings","non_residential","45",2015
"0563 Valdemarsvik","industrial buildings","non_residential","71",2015
"0563 Valdemarsvik","total","non_residential","116",2015
"0580 Linköping","one- or two dwelling buildings","non_residential",NA,2015
"0580 Linköping","multi-dwelling and commercial buildings","non_residential","1702",2015
"0580 Linköping","industrial buildings","non_residential","1414",2015
"0580 Linköping","total","non_residential","3116",2015
"0581 Norrköping","one- or two dwelling buildings","non_residential",NA,2015
"0581 Norrköping","multi-dwelling and commercial buildings","non_residential","1376",2015
"0581 Norrköping","industrial buildings","non_residential","1871",2015
"0581 Norrköping","total","non_residential","3247",2015
"0582 Söderköping","one- or two dwelling buildings","non_residential",NA,2015
"0582 Söderköping","multi-dwelling and commercial buildings","non_residential","69",2015
"0582 Söderköping","industrial buildings","non_residential","81",2015
"0582 Söderköping","total","non_residential","150",2015
"0583 Motala","one- or two dwelling buildings","non_residential",NA,2015
"0583 Motala","multi-dwelling and commercial buildings","non_residential","311",2015
"0583 Motala","industrial buildings","non_residential","616",2015
"0583 Motala","total","non_residential","927",2015
"0584 Vadstena","one- or two dwelling buildings","non_residential",NA,2015
"0584 Vadstena","multi-dwelling and commercial buildings","non_residential","50",2015
"0584 Vadstena","industrial buildings","non_residential","90",2015
"0584 Vadstena","total","non_residential","141",2015
"0586 Mjölby","one- or two dwelling buildings","non_residential",NA,2015
"0586 Mjölby","multi-dwelling and commercial buildings","non_residential","200",2015
"0586 Mjölby","industrial buildings","non_residential","545",2015
"0586 Mjölby","total","non_residential","745",2015
"0604 Aneby","one- or two dwelling buildings","non_residential",NA,2015
"0604 Aneby","multi-dwelling and commercial buildings","non_residential","26",2015
"0604 Aneby","industrial buildings","non_residential","162",2015
"0604 Aneby","total","non_residential","189",2015
"0617 Gnosjö","one- or two dwelling buildings","non_residential",NA,2015
"0617 Gnosjö","multi-dwelling and commercial buildings","non_residential","32",2015
"0617 Gnosjö","industrial buildings","non_residential","589",2015
"0617 Gnosjö","total","non_residential","620",2015
"0642 Mullsjö","one- or two dwelling buildings","non_residential",NA,2015
"0642 Mullsjö","multi-dwelling and commercial buildings","non_residential","34",2015
"0642 Mullsjö","industrial buildings","non_residential","162",2015
"0642 Mullsjö","total","non_residential","196",2015
"0643 Habo","one- or two dwelling buildings","non_residential",NA,2015
"0643 Habo","multi-dwelling and commercial buildings","non_residential","21",2015
"0643 Habo","industrial buildings","non_residential","182",2015
"0643 Habo","total","non_residential","202",2015
"0662 Gislaved","one- or two dwelling buildings","non_residential",NA,2015
"0662 Gislaved","multi-dwelling and commercial buildings","non_residential","147",2015
"0662 Gislaved","industrial buildings","non_residential","1452",2015
"0662 Gislaved","total","non_residential","1599",2015
"0665 Vaggeryd","one- or two dwelling buildings","non_residential",NA,2015
"0665 Vaggeryd","multi-dwelling and commercial buildings","non_residential","42",2015
"0665 Vaggeryd","industrial buildings","non_residential","527",2015
"0665 Vaggeryd","total","non_residential","569",2015
"0680 Jönköping","one- or two dwelling buildings","non_residential",NA,2015
"0680 Jönköping","multi-dwelling and commercial buildings","non_residential","1414",2015
"0680 Jönköping","industrial buildings","non_residential","1490",2015
"0680 Jönköping","total","non_residential","2903",2015
"0682 Nässjö","one- or two dwelling buildings","non_residential",NA,2015
"0682 Nässjö","multi-dwelling and commercial buildings","non_residential","181",2015
"0682 Nässjö","industrial buildings","non_residential","859",2015
"0682 Nässjö","total","non_residential","1041",2015
"0683 Värnamo","one- or two dwelling buildings","non_residential",NA,2015
"0683 Värnamo","multi-dwelling and commercial buildings","non_residential","250",2015
"0683 Värnamo","industrial buildings","non_residential","995",2015
"0683 Värnamo","total","non_residential","1246",2015
"0684 Sävsjö","one- or two dwelling buildings","non_residential",NA,2015
"0684 Sävsjö","multi-dwelling and commercial buildings","non_residential","59",2015
"0684 Sävsjö","industrial buildings","non_residential","335",2015
"0684 Sävsjö","total","non_residential","395",2015
"0685 Vetlanda","one- or two dwelling buildings","non_residential",NA,2015
"0685 Vetlanda","multi-dwelling and commercial buildings","non_residential","173",2015
"0685 Vetlanda","industrial buildings","non_residential","802",2015
"0685 Vetlanda","total","non_residential","976",2015
"0686 Eksjö","one- or two dwelling buildings","non_residential",NA,2015
"0686 Eksjö","multi-dwelling and commercial buildings","non_residential","129",2015
"0686 Eksjö","industrial buildings","non_residential","269",2015
"0686 Eksjö","total","non_residential","397",2015
"0687 Tranås","one- or two dwelling buildings","non_residential",NA,2015
"0687 Tranås","multi-dwelling and commercial buildings","non_residential","168",2015
"0687 Tranås","industrial buildings","non_residential","411",2015
"0687 Tranås","total","non_residential","578",2015
"0760 Uppvidinge","one- or two dwelling buildings","non_residential",NA,2015
"0760 Uppvidinge","multi-dwelling and commercial buildings","non_residential","43",2015
"0760 Uppvidinge","industrial buildings","non_residential","365",2015
"0760 Uppvidinge","total","non_residential","407",2015
"0761 Lessebo","one- or two dwelling buildings","non_residential",NA,2015
"0761 Lessebo","multi-dwelling and commercial buildings","non_residential","65",2015
"0761 Lessebo","industrial buildings","non_residential","162",2015
"0761 Lessebo","total","non_residential","228",2015
"0763 Tingsryd","one- or two dwelling buildings","non_residential",NA,2015
"0763 Tingsryd","multi-dwelling and commercial buildings","non_residential","68",2015
"0763 Tingsryd","industrial buildings","non_residential","311",2015
"0763 Tingsryd","total","non_residential","379",2015
"0764 Alvesta","one- or two dwelling buildings","non_residential",NA,2015
"0764 Alvesta","multi-dwelling and commercial buildings","non_residential","81",2015
"0764 Alvesta","industrial buildings","non_residential","410",2015
"0764 Alvesta","total","non_residential","491",2015
"0765 Älmhult","one- or two dwelling buildings","non_residential",NA,2015
"0765 Älmhult","multi-dwelling and commercial buildings","non_residential","183",2015
"0765 Älmhult","industrial buildings","non_residential","662",2015
"0765 Älmhult","total","non_residential","845",2015
"0767 Markaryd","one- or two dwelling buildings","non_residential",NA,2015
"0767 Markaryd","multi-dwelling and commercial buildings","non_residential","69",2015
"0767 Markaryd","industrial buildings","non_residential","359",2015
"0767 Markaryd","total","non_residential","429",2015
"0780 Växjö","one- or two dwelling buildings","non_residential",NA,2015
"0780 Växjö","multi-dwelling and commercial buildings","non_residential","904",2015
"0780 Växjö","industrial buildings","non_residential","965",2015
