"nuts","year","value","level","indicator","type.of.building"
"512","2009",981,"laucode","bldn_sec","all"
"512","2010",989,"laucode","bldn_sec","all"
"512","2011",968,"laucode","bldn_sec","all"
"512","2012",988,"laucode","bldn_sec","all"
"512","2013",1000,"laucode","bldn_sec","all"
"512","2014",1003,"laucode","bldn_sec","all"
"512","2015",1019,"laucode","bldn_sec","all"
"512","2016",1029,"laucode","bldn_sec","all"
"512","2017",1035,"laucode","bldn_sec","all"
"512","2018",1060,"laucode","bldn_sec","all"
"512","2019",1063,"laucode","bldn_sec","all"
"512","2020",1050,"laucode","bldn_sec","all"
"512","2021",1056,"laucode","bldn_sec","all"
"512","2022",1067,"laucode","bldn_sec","all"
"512","2023",1070,"laucode","bldn_sec","all"
"512","2024",1093,"laucode","bldn_sec","all"
"513","1998",1529,"laucode","bldn_sec","all"
"513","1999",1548,"laucode","bldn_sec","all"
"513","2000",1579,"laucode","bldn_sec","all"
"513","2001",1588,"laucode","bldn_sec","all"
"513","2002",1605,"laucode","bldn_sec","all"
"513","2003",1641,"laucode","bldn_sec","all"
"513","2004",1659,"laucode","bldn_sec","all"
"513","2005",1651,"laucode","bldn_sec","all"
"513","2006",1667,"laucode","bldn_sec","all"
"513","2007",1633,"laucode","bldn_sec","all"
"513","2008",1661,"laucode","bldn_sec","all"
"513","2009",1682,"laucode","bldn_sec","all"
"513","2010",1689,"laucode","bldn_sec","all"
"513","2011",1664,"laucode","bldn_sec","all"
"513","2012",1670,"laucode","bldn_sec","all"
"513","2013",1686,"laucode","bldn_sec","all"
"513","2014",1686,"laucode","bldn_sec","all"
"513","2015",1728,"laucode","bldn_sec","all"
"513","2016",1735,"laucode","bldn_sec","all"
"513","2017",1735,"laucode","bldn_sec","all"
"513","2018",1795,"laucode","bldn_sec","all"
"513","2019",1807,"laucode","bldn_sec","all"
"513","2020",1822,"laucode","bldn_sec","all"
"513","2021",1813,"laucode","bldn_sec","all"
"513","2022",1799,"laucode","bldn_sec","all"
"513","2023",1803,"laucode","bldn_sec","all"
"513","2024",1826,"laucode","bldn_sec","all"
"560","1998",936,"laucode","bldn_sec","all"
"560","1999",952,"laucode","bldn_sec","all"
"560","2000",974,"laucode","bldn_sec","all"
"560","2001",987,"laucode","bldn_sec","all"
"560","2002",991,"laucode","bldn_sec","all"
"560","2003",1056,"laucode","bldn_sec","all"
"560","2004",1047,"laucode","bldn_sec","all"
"560","2005",1064,"laucode","bldn_sec","all"
"560","2006",1090,"laucode","bldn_sec","all"
"560","2007",1090,"laucode","bldn_sec","all"
"560","2008",1102,"laucode","bldn_sec","all"
"560","2009",1120,"laucode","bldn_sec","all"
"560","2010",1142,"laucode","bldn_sec","all"
"560","2011",1143,"laucode","bldn_sec","all"
"560","2012",1170,"laucode","bldn_sec","all"
"560","2013",1170,"laucode","bldn_sec","all"
"560","2014",1167,"laucode","bldn_sec","all"
"560","2015",1196,"laucode","bldn_sec","all"
"560","2016",1195,"laucode","bldn_sec","all"
