"Location","Year","Indicator","dwellings"
"....Sindi city as a settlement unit","2011","Total number of rooms",5234
"....Sindi city as a settlement unit","2011","Average number of rooms per inhabitant",1.35
"....Sindi city as a settlement unit","2021","Number of dwellings",1631
"....Sindi city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1617
"....Sindi city as a settlement unit","2021","Total number of rooms",4818
"....Sindi city as a settlement unit","2021","Average number of rooms per inhabitant",1.3
"....Tori rural municipality, excl. Sindi city as a settlement unit","2000","Number of dwellings",2314
"....Tori rural municipality, excl. Sindi city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",2310
"....Tori rural municipality, excl. Sindi city as a settlement unit","2000","Total number of rooms",7457
"....Tori rural municipality, excl. Sindi city as a settlement unit","2000","Average number of rooms per inhabitant",1.17
"....Tori rural municipality, excl. Sindi city as a settlement unit","2011","Number of dwellings",2920
"....Tori rural municipality, excl. Sindi city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",2917
"....Tori rural municipality, excl. Sindi city as a settlement unit","2011","Total number of rooms",10715
"....Tori rural municipality, excl. Sindi city as a settlement unit","2011","Average number of rooms per inhabitant",1.39
"....Tori rural municipality, excl. Sindi city as a settlement unit","2021","Number of dwellings",3169
"....Tori rural municipality, excl. Sindi city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",3156
"....Tori rural municipality, excl. Sindi city as a settlement unit","2021","Total number of rooms",10730
"....Tori rural municipality, excl. Sindi city as a settlement unit","2021","Average number of rooms per inhabitant",1.34
"RAPLA COUNTY","2000","Number of dwellings",13945
"RAPLA COUNTY","2000","Number of dwellings for which the number of rooms was recorded",13905
"RAPLA COUNTY","2000","Total number of rooms",41319
"RAPLA COUNTY","2000","Average number of rooms per inhabitant",1.16
"RAPLA COUNTY","2011","Number of dwellings",13634
"RAPLA COUNTY","2011","Number of dwellings for which the number of rooms was recorded",13620
"RAPLA COUNTY","2011","Total number of rooms",45234
"RAPLA COUNTY","2011","Average number of rooms per inhabitant",1.36
"RAPLA COUNTY","2021","Number of dwellings",13873
"RAPLA COUNTY","2021","Number of dwellings for which the number of rooms was recorded",13683
"RAPLA COUNTY","2021","Total number of rooms",43501
"RAPLA COUNTY","2021","Average number of rooms per inhabitant",1.34
"..Rapla county: city settlement region","2000","Number of dwellings",0
"..Rapla county: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",0
"..Rapla county: city settlement region","2000","Total number of rooms",0
"..Rapla county: city settlement region","2000","Average number of rooms per inhabitant",0
"..Rapla county: city settlement region","2011","Number of dwellings",0
"..Rapla county: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",0
"..Rapla county: city settlement region","2011","Total number of rooms",0
"..Rapla county: city settlement region","2011","Average number of rooms per inhabitant",0
"..Rapla county: city settlement region","2021","Number of dwellings",0
"..Rapla county: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",0
"..Rapla county: city settlement region","2021","Total number of rooms",0
"..Rapla county: city settlement region","2021","Average number of rooms per inhabitant",0
"..Rapla county: town settlement region","2000","Number of dwellings",2405
"..Rapla county: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",2404
"..Rapla county: town settlement region","2000","Total number of rooms",6728
"..Rapla county: town settlement region","2000","Average number of rooms per inhabitant",1.12
"..Rapla county: town settlement region","2011","Number of dwellings",2397
"..Rapla county: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",2396
"..Rapla county: town settlement region","2011","Total number of rooms",7326
"..Rapla county: town settlement region","2011","Average number of rooms per inhabitant",1.3
"..Rapla county: town settlement region","2021","Number of dwellings",2440
"..Rapla county: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",2421
"..Rapla county: town settlement region","2021","Total number of rooms",7324
"..Rapla county: town settlement region","2021","Average number of rooms per inhabitant",1.27
"..Rapla county: rural settlement region","2000","Number of dwellings",11540
"..Rapla county: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",11501
"..Rapla county: rural settlement region","2000","Total number of rooms",34591
"..Rapla county: rural settlement region","2000","Average number of rooms per inhabitant",1.16
"..Rapla county: rural settlement region","2011","Number of dwellings",11237
"..Rapla county: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",11224
"..Rapla county: rural settlement region","2011","Total number of rooms",37908
"..Rapla county: rural settlement region","2011","Average number of rooms per inhabitant",1.37
"..Rapla county: rural settlement region","2021","Number of dwellings",11433
"..Rapla county: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",11262
"..Rapla county: rural settlement region","2021","Total number of rooms",36177
"..Rapla county: rural settlement region","2021","Average number of rooms per inhabitant",1.35
"..Kehtna rural municipality","2000","Number of dwellings",2581
"..Kehtna rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2576
"..Kehtna rural municipality","2000","Total number of rooms",7607
"..Kehtna rural municipality","2000","Average number of rooms per inhabitant",1.19
"..Kehtna rural municipality","2011","Number of dwellings",2362
"..Kehtna rural municipality","2011","Number of dwellings for which the number of rooms was recorded",2361
"..Kehtna rural municipality","2011","Total number of rooms",7587
"..Kehtna rural municipality","2011","Average number of rooms per inhabitant",1.37
"..Kehtna rural municipality","2021","Number of dwellings",2320
"..Kehtna rural municipality","2021","Number of dwellings for which the number of rooms was recorded",2303
"..Kehtna rural municipality","2021","Total number of rooms",7201
"..Kehtna rural municipality","2021","Average number of rooms per inhabitant",1.35
"..Kohila rural municipality","2000","Number of dwellings",2269
"..Kohila rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2262
"..Kohila rural municipality","2000","Total number of rooms",6403
"..Kohila rural municipality","2000","Average number of rooms per inhabitant",1.08
"..Kohila rural municipality","2011","Number of dwellings",2708
"..Kohila rural municipality","2011","Number of dwellings for which the number of rooms was recorded",2706
"..Kohila rural municipality","2011","Total number of rooms",9018
"..Kohila rural municipality","2011","Average number of rooms per inhabitant",1.27
"..Kohila rural municipality","2021","Number of dwellings",2892
"..Kohila rural municipality","2021","Number of dwellings for which the number of rooms was recorded",2832
"..Kohila rural municipality","2021","Total number of rooms",8670
"..Kohila rural municipality","2021","Average number of rooms per inhabitant",1.2
"..Märjamaa rural municipality","2000","Number of dwellings",3505
"..Märjamaa rural municipality","2000","Number of dwellings for which the number of rooms was recorded",3499
"..Märjamaa rural municipality","2000","Total number of rooms",10991
"..Märjamaa rural municipality","2000","Average number of rooms per inhabitant",1.21
"..Märjamaa rural municipality","2011","Number of dwellings",3182
"..Märjamaa rural municipality","2011","Number of dwellings for which the number of rooms was recorded",3178
"..Märjamaa rural municipality","2011","Total number of rooms",11091
"..Märjamaa rural municipality","2011","Average number of rooms per inhabitant",1.45
"..Märjamaa rural municipality","2021","Number of dwellings",3271
"..Märjamaa rural municipality","2021","Number of dwellings for which the number of rooms was recorded",3217
"..Märjamaa rural municipality","2021","Total number of rooms",10764
"..Märjamaa rural municipality","2021","Average number of rooms per inhabitant",1.51
"..Rapla rural municipality","2000","Number of dwellings",5590
"..Rapla rural municipality","2000","Number of dwellings for which the number of rooms was recorded",5568
"..Rapla rural municipality","2000","Total number of rooms",16318
"..Rapla rural municipality","2000","Average number of rooms per inhabitant",1.14
"..Rapla rural municipality","2011","Number of dwellings",5382
