"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"luunja vald",2017,"house","EE008","EE008",432,"ppm2",1179
"mulgi vald",2017,"house","EE008","EE008",480,"ppm2",171
"mustvee vald",2017,"house","EE008","EE008",486,"ppm2",236
"noo vald",2017,"house","EE008","EE008",528,"ppm2",537
"otepaa vald",2017,"house","EE008","EE008",557,"ppm2",385
"peipsiaare vald",2017,"house","EE008","EE008",586,"ppm2",273
"pohjasakala vald",2017,"house","EE008","EE008",615,"ppm2",303
"poltsamaa vald",2017,"house","EE008","EE008",618,"ppm2",232
"polva vald",2017,"house","EE008","EE008",622,"ppm2",320
"rapina vald",2017,"house","EE008","EE008",708,"ppm2",138
"rouge vald",2017,"house","EE008","EE008",698,"ppm2",152
"setomaa vald",2017,"house","EE008","EE008",732,"ppm2",155
"tartu linn",2017,"house","EE008","EE008",793,"ppm2",860
"tartu vald",2017,"house","EE008","EE008",796,"ppm2",782
"torva vald",2017,"house","EE008","EE008",824,"ppm2",293
"valga vald",2017,"house","EE008","EE008",855,"ppm2",200
"viljandi linn",2017,"house","EE008","EE008",897,"ppm2",523
"viljandi vald",2017,"house","EE008","EE008",899,"ppm2",344
"voru linn",2017,"house","EE008","EE008",919,"ppm2",327
"voru vald",2017,"house","EE008","EE008",917,"ppm2",244
"haljala vald",2017,"house","EE009","EE006",191,"ppm2",631
"jarva vald",2017,"house","EE009","EE006",255,"ppm2",130
"kadrina vald",2017,"house","EE009","EE006",272,"ppm2",400
"kehtna vald",2017,"house","EE009","EE006",293,"ppm2",355
"kohila vald",2017,"house","EE009","EE006",317,"ppm2",588
"marjamaa vald",2017,"house","EE009","EE006",503,"ppm2",283
"paide linn",2017,"house","EE009","EE006",567,"ppm2",404
"rakvere linn",2017,"house","EE009","EE006",663,"ppm2",547
"rakvere vald",2017,"house","EE009","EE006",661,"ppm2",391
"rapla vald",2017,"house","EE009","EE006",668,"ppm2",469
"tapa vald",2017,"house","EE009","EE006",792,"ppm2",340
"turi vald",2017,"house","EE009","EE006",834,"ppm2",303
"vaikemaarja vald",2017,"house","EE009","EE006",928,"ppm2",163
"vinni vald",2017,"house","EE009","EE006",901,"ppm2",178
"virunigula vald",2017,"house","EE009","EE006",903,"ppm2",370
"alutaguse vald",2017,"house","EE00A","EE007",130,"ppm2",258
"johvi vald",2017,"house","EE00A","EE007",251,"ppm2",339
"kohtlajarve linn",2017,"house","EE00A","EE007",321,"ppm2",224
"luganuse vald",2017,"house","EE00A","EE007",442,"ppm2",174
"narva linn",2017,"house","EE00A","EE007",511,"ppm2",510
"narvajoesuu linn",2017,"house","EE00A","EE007",514,"ppm2",484
"sillamae linn",2017,"house","EE00A","EE007",735,"ppm2",321
"toila vald",2017,"house","EE00A","EE007",803,"ppm2",257
"anija vald",2018,"house","EE001","EE001",141,"ppm2",556
"harku vald",2018,"house","EE001","EE001",198,"ppm2",1399
"joelahtme vald",2018,"house","EE001","EE001",245,"ppm2",1135
"keila linn",2018,"house","EE001","EE001",296,"ppm2",1056
"kiili vald",2018,"house","EE001","EE001",304,"ppm2",1306
"kose vald",2018,"house","EE001","EE001",338,"ppm2",771
"kuusalu vald",2018,"house","EE001","EE001",353,"ppm2",752
"laaneharju vald",2018,"house","EE001","EE001",431,"ppm2",823
"loksa linn",2018,"house","EE001","EE001",424,"ppm2",581
"maardu linn",2018,"house","EE001","EE001",446,"ppm2",1252
"raasiku vald",2018,"house","EE001","EE001",651,"ppm2",773
"rae vald",2018,"house","EE001","EE001",653,"ppm2",1293
"saku vald",2018,"house","EE001","EE001",718,"ppm2",1067
"saue vald",2018,"house","EE001","EE001",726,"ppm2",963
"tallinn",2018,"house","EE001","EE001",784,"ppm2",1693
"viimsi vald",2018,"house","EE001","EE001",890,"ppm2",1357
"haademeeste vald",2018,"house","EE004","EE004",214,"ppm2",614
"haapsalu linn",2018,"house","EE004","EE004",184,"ppm2",599
"hiiumaa vald",2018,"house","EE004","EE004",205,"ppm2",488
"kihnu vald",2018,"house","EE004","EE004",303,"ppm2",500
"laanenigula vald",2018,"house","EE004","EE004",441,"ppm2",326
"laaneranna vald",2018,"house","EE004","EE004",430,"ppm2",332
"muhu vald",2018,"house","EE004","EE004",478,"ppm2",590
"parnu linn",2018,"house","EE004","EE004",624,"ppm2",752
"pohjaparnumaa vald",2018,"house","EE004","EE004",638,"ppm2",238
"ruhnu vald",2018,"house","EE004","EE004",689,"ppm2",500
"saarde vald",2018,"house","EE004","EE004",712,"ppm2",170
"saaremaa vald",2018,"house","EE004","EE004",714,"ppm2",658
"tori vald",2018,"house","EE004","EE004",809,"ppm2",734
"vormsi vald",2018,"house","EE004","EE004",907,"ppm2",609
"antsla vald",2018,"house","EE008","EE008",142,"ppm2",175
"elva vald",2018,"house","EE008","EE008",171,"ppm2",573
"jogeva vald",2018,"house","EE008","EE008",247,"ppm2",201
"kambja vald",2018,"house","EE008","EE008",283,"ppm2",1121
"kanepi vald",2018,"house","EE008","EE008",284,"ppm2",381
"kastre vald",2018,"house","EE008","EE008",291,"ppm2",909
"luunja vald",2018,"house","EE008","EE008",432,"ppm2",1130
"mulgi vald",2018,"house","EE008","EE008",480,"ppm2",132
"mustvee vald",2018,"house","EE008","EE008",486,"ppm2",228
"noo vald",2018,"house","EE008","EE008",528,"ppm2",637
"otepaa vald",2018,"house","EE008","EE008",557,"ppm2",527
"peipsiaare vald",2018,"house","EE008","EE008",586,"ppm2",340
"pohjasakala vald",2018,"house","EE008","EE008",615,"ppm2",251
"poltsamaa vald",2018,"house","EE008","EE008",618,"ppm2",359
"polva vald",2018,"house","EE008","EE008",622,"ppm2",413
"rapina vald",2018,"house","EE008","EE008",708,"ppm2",310
"rouge vald",2018,"house","EE008","EE008",698,"ppm2",381
"setomaa vald",2018,"house","EE008","EE008",732,"ppm2",246
"tartu linn",2018,"house","EE008","EE008",793,"ppm2",937
"tartu vald",2018,"house","EE008","EE008",796,"ppm2",758
"torva vald",2018,"house","EE008","EE008",824,"ppm2",257
"valga vald",2018,"house","EE008","EE008",855,"ppm2",220
"viljandi linn",2018,"house","EE008","EE008",897,"ppm2",488
"viljandi vald",2018,"house","EE008","EE008",899,"ppm2",334
"voru linn",2018,"house","EE008","EE008",919,"ppm2",415
"voru vald",2018,"house","EE008","EE008",917,"ppm2",313
"haljala vald",2018,"house","EE009","EE006",191,"ppm2",431
"jarva vald",2018,"house","EE009","EE006",255,"ppm2",214
"kadrina vald",2018,"house","EE009","EE006",272,"ppm2",376
"kehtna vald",2018,"house","EE009","EE006",293,"ppm2",360
"kohila vald",2018,"house","EE009","EE006",317,"ppm2",895
"marjamaa vald",2018,"house","EE009","EE006",503,"ppm2",154
"paide linn",2018,"house","EE009","EE006",567,"ppm2",326
"rakvere linn",2018,"house","EE009","EE006",663,"ppm2",546
"rakvere vald",2018,"house","EE009","EE006",661,"ppm2",392
"rapla vald",2018,"house","EE009","EE006",668,"ppm2",567
"tapa vald",2018,"house","EE009","EE006",792,"ppm2",316
"turi vald",2018,"house","EE009","EE006",834,"ppm2",262
"vaikemaarja vald",2018,"house","EE009","EE006",928,"ppm2",133
"vinni vald",2018,"house","EE009","EE006",901,"ppm2",315
"virunigula vald",2018,"house","EE009","EE006",903,"ppm2",303
"alutaguse vald",2018,"house","EE00A","EE007",130,"ppm2",345
"johvi vald",2018,"house","EE00A","EE007",251,"ppm2",453
"kohtlajarve linn",2018,"house","EE00A","EE007",321,"ppm2",378
"luganuse vald",2018,"house","EE00A","EE007",442,"ppm2",186
"narva linn",2018,"house","EE00A","EE007",511,"ppm2",424
"narvajoesuu linn",2018,"house","EE00A","EE007",514,"ppm2",584
"sillamae linn",2018,"house","EE00A","EE007",735,"ppm2",385
"toila vald",2018,"house","EE00A","EE007",803,"ppm2",328
"anija vald",2019,"house","EE001","EE001",141,"ppm2",692
"harku vald",2019,"house","EE001","EE001",198,"ppm2",1431
"joelahtme vald",2019,"house","EE001","EE001",245,"ppm2",1073
"keila linn",2019,"house","EE001","EE001",296,"ppm2",1278
"kiili vald",2019,"house","EE001","EE001",304,"ppm2",1439
"kose vald",2019,"house","EE001","EE001",338,"ppm2",983
"kuusalu vald",2019,"house","EE001","EE001",353,"ppm2",578
"laaneharju vald",2019,"house","EE001","EE001",431,"ppm2",961
"loksa linn",2019,"house","EE001","EE001",424,"ppm2",600
"maardu linn",2019,"house","EE001","EE001",446,"ppm2",1389
"raasiku vald",2019,"house","EE001","EE001",651,"ppm2",956
"rae vald",2019,"house","EE001","EE001",653,"ppm2",1443
"saku vald",2019,"house","EE001","EE001",718,"ppm2",1167
"saue vald",2019,"house","EE001","EE001",726,"ppm2",1025
"tallinn",2019,"house","EE001","EE001",784,"ppm2",1638
"viimsi vald",2019,"house","EE001","EE001",890,"ppm2",1474
"haademeeste vald",2019,"house","EE004","EE004",214,"ppm2",517
"haapsalu linn",2019,"house","EE004","EE004",184,"ppm2",808
"hiiumaa vald",2019,"house","EE004","EE004",205,"ppm2",638
"kihnu vald",2019,"house","EE004","EE004",303,"ppm2",598
"laanenigula vald",2019,"house","EE004","EE004",441,"ppm2",618
"laaneranna vald",2019,"house","EE004","EE004",430,"ppm2",271
"muhu vald",2019,"house","EE004","EE004",478,"ppm2",911
"parnu linn",2019,"house","EE004","EE004",624,"ppm2",864
"pohjaparnumaa vald",2019,"house","EE004","EE004",638,"ppm2",248
"ruhnu vald",2019,"house","EE004","EE004",689,"ppm2",598
"saarde vald",2019,"house","EE004","EE004",712,"ppm2",310
"saaremaa vald",2019,"house","EE004","EE004",714,"ppm2",598
"tori vald",2019,"house","EE004","EE004",809,"ppm2",795
"vormsi vald",2019,"house","EE004","EE004",907,"ppm2",729
"antsla vald",2019,"house","EE008","EE008",142,"ppm2",252
"elva vald",2019,"house","EE008","EE008",171,"ppm2",555
"jogeva vald",2019,"house","EE008","EE008",247,"ppm2",249
"kambja vald",2019,"house","EE008","EE008",283,"ppm2",1127
"kanepi vald",2019,"house","EE008","EE008",284,"ppm2",514
"kastre vald",2019,"house","EE008","EE008",291,"ppm2",978
"luunja vald",2019,"house","EE008","EE008",432,"ppm2",1178
"mulgi vald",2019,"house","EE008","EE008",480,"ppm2",221
"mustvee vald",2019,"house","EE008","EE008",486,"ppm2",264
"noo vald",2019,"house","EE008","EE008",528,"ppm2",500
"otepaa vald",2019,"house","EE008","EE008",557,"ppm2",591
"peipsiaare vald",2019,"house","EE008","EE008",586,"ppm2",342
"pohjasakala vald",2019,"house","EE008","EE008",615,"ppm2",237
"poltsamaa vald",2019,"house","EE008","EE008",618,"ppm2",314
"polva vald",2019,"house","EE008","EE008",622,"ppm2",430
"rapina vald",2019,"house","EE008","EE008",708,"ppm2",231
"rouge vald",2019,"house","EE008","EE008",698,"ppm2",168
"setomaa vald",2019,"house","EE008","EE008",732,"ppm2",255
"tartu linn",2019,"house","EE008","EE008",793,"ppm2",936
"tartu vald",2019,"house","EE008","EE008",796,"ppm2",848
"torva vald",2019,"house","EE008","EE008",824,"ppm2",298
"valga vald",2019,"house","EE008","EE008",855,"ppm2",204
"viljandi linn",2019,"house","EE008","EE008",897,"ppm2",553
"viljandi vald",2019,"house","EE008","EE008",899,"ppm2",364
"voru linn",2019,"house","EE008","EE008",919,"ppm2",411
"voru vald",2019,"house","EE008","EE008",917,"ppm2",278
"haljala vald",2019,"house","EE009","EE006",191,"ppm2",805
"jarva vald",2019,"house","EE009","EE006",255,"ppm2",226
"kadrina vald",2019,"house","EE009","EE006",272,"ppm2",374
"kehtna vald",2019,"house","EE009","EE006",293,"ppm2",348
"kohila vald",2019,"house","EE009","EE006",317,"ppm2",850
"marjamaa vald",2019,"house","EE009","EE006",503,"ppm2",331
"paide linn",2019,"house","EE009","EE006",567,"ppm2",489
"rakvere linn",2019,"house","EE009","EE006",663,"ppm2",573
"rakvere vald",2019,"house","EE009","EE006",661,"ppm2",424
"rapla vald",2019,"house","EE009","EE006",668,"ppm2",729
"tapa vald",2019,"house","EE009","EE006",792,"ppm2",350
"turi vald",2019,"house","EE009","EE006",834,"ppm2",337
"vaikemaarja vald",2019,"house","EE009","EE006",928,"ppm2",167
"vinni vald",2019,"house","EE009","EE006",901,"ppm2",174
"virunigula vald",2019,"house","EE009","EE006",903,"ppm2",419
"alutaguse vald",2019,"house","EE00A","EE007",130,"ppm2",286
"johvi vald",2019,"house","EE00A","EE007",251,"ppm2",452
"kohtlajarve linn",2019,"house","EE00A","EE007",321,"ppm2",214
"luganuse vald",2019,"house","EE00A","EE007",442,"ppm2",197
"narva linn",2019,"house","EE00A","EE007",511,"ppm2",521
"narvajoesuu linn",2019,"house","EE00A","EE007",514,"ppm2",846
"sillamae linn",2019,"house","EE00A","EE007",735,"ppm2",404
"toila vald",2019,"house","EE00A","EE007",803,"ppm2",312
"anija vald",2020,"house","EE001","EE001",141,"ppm2",599
"harku vald",2020,"house","EE001","EE001",198,"ppm2",1355
"joelahtme vald",2020,"house","EE001","EE001",245,"ppm2",1479
"keila linn",2020,"house","EE001","EE001",296,"ppm2",1333
"kiili vald",2020,"house","EE001","EE001",304,"ppm2",1216
"kose vald",2020,"house","EE001","EE001",338,"ppm2",892
"kuusalu vald",2020,"house","EE001","EE001",353,"ppm2",1051
"laaneharju vald",2020,"house","EE001","EE001",431,"ppm2",1054
"loksa linn",2020,"house","EE001","EE001",424,"ppm2",618
"maardu linn",2020,"house","EE001","EE001",446,"ppm2",1589
"raasiku vald",2020,"house","EE001","EE001",651,"ppm2",1076
"rae vald",2020,"house","EE001","EE001",653,"ppm2",1432
"saku vald",2020,"house","EE001","EE001",718,"ppm2",1250
"saue vald",2020,"house","EE001","EE001",726,"ppm2",1255
"tallinn",2020,"house","EE001","EE001",784,"ppm2",1785
"viimsi vald",2020,"house","EE001","EE001",890,"ppm2",1525
"haademeeste vald",2020,"house","EE004","EE004",214,"ppm2",707
"haapsalu linn",2020,"house","EE004","EE004",184,"ppm2",705
"hiiumaa vald",2020,"house","EE004","EE004",205,"ppm2",569
"kihnu vald",2020,"house","EE004","EE004",303,"ppm2",554
"laanenigula vald",2020,"house","EE004","EE004",441,"ppm2",305
"laaneranna vald",2020,"house","EE004","EE004",430,"ppm2",323
"muhu vald",2020,"house","EE004","EE004",478,"ppm2",958
"parnu linn",2020,"house","EE004","EE004",624,"ppm2",857
"pohjaparnumaa vald",2020,"house","EE004","EE004",638,"ppm2",353
"ruhnu vald",2020,"house","EE004","EE004",689,"ppm2",554
"saarde vald",2020,"house","EE004","EE004",712,"ppm2",238
"saaremaa vald",2020,"house","EE004","EE004",714,"ppm2",696
"tori vald",2020,"house","EE004","EE004",809,"ppm2",788
"vormsi vald",2020,"house","EE004","EE004",907,"ppm2",675
"antsla vald",2020,"house","EE008","EE008",142,"ppm2",221
"elva vald",2020,"house","EE008","EE008",171,"ppm2",732
"jogeva vald",2020,"house","EE008","EE008",247,"ppm2",252
"kambja vald",2020,"house","EE008","EE008",283,"ppm2",1184
"kanepi vald",2020,"house","EE008","EE008",284,"ppm2",299
"kastre vald",2020,"house","EE008","EE008",291,"ppm2",1047
"luunja vald",2020,"house","EE008","EE008",432,"ppm2",1300
"mulgi vald",2020,"house","EE008","EE008",480,"ppm2",178
"mustvee vald",2020,"house","EE008","EE008",486,"ppm2",333
"noo vald",2020,"house","EE008","EE008",528,"ppm2",634
"otepaa vald",2020,"house","EE008","EE008",557,"ppm2",470
"peipsiaare vald",2020,"house","EE008","EE008",586,"ppm2",248
"pohjasakala vald",2020,"house","EE008","EE008",615,"ppm2",266
"poltsamaa vald",2020,"house","EE008","EE008",618,"ppm2",272
"polva vald",2020,"house","EE008","EE008",622,"ppm2",357
"rapina vald",2020,"house","EE008","EE008",708,"ppm2",250
"rouge vald",2020,"house","EE008","EE008",698,"ppm2",272
"setomaa vald",2020,"house","EE008","EE008",732,"ppm2",191
"tartu linn",2020,"house","EE008","EE008",793,"ppm2",1080
"tartu vald",2020,"house","EE008","EE008",796,"ppm2",911
"torva vald",2020,"house","EE008","EE008",824,"ppm2",344
"valga vald",2020,"house","EE008","EE008",855,"ppm2",239
"viljandi linn",2020,"house","EE008","EE008",897,"ppm2",512
"viljandi vald",2020,"house","EE008","EE008",899,"ppm2",298
"voru linn",2020,"house","EE008","EE008",919,"ppm2",552
"voru vald",2020,"house","EE008","EE008",917,"ppm2",323
"haljala vald",2020,"house","EE009","EE006",191,"ppm2",771
"jarva vald",2020,"house","EE009","EE006",255,"ppm2",250
"kadrina vald",2020,"house","EE009","EE006",272,"ppm2",602
"kehtna vald",2020,"house","EE009","EE006",293,"ppm2",344
"kohila vald",2020,"house","EE009","EE006",317,"ppm2",953
"marjamaa vald",2020,"house","EE009","EE006",503,"ppm2",337
"paide linn",2020,"house","EE009","EE006",567,"ppm2",351
"rakvere linn",2020,"house","EE009","EE006",663,"ppm2",545
"rakvere vald",2020,"house","EE009","EE006",661,"ppm2",572
"rapla vald",2020,"house","EE009","EE006",668,"ppm2",618
"tapa vald",2020,"house","EE009","EE006",792,"ppm2",328
"turi vald",2020,"house","EE009","EE006",834,"ppm2",296
"vaikemaarja vald",2020,"house","EE009","EE006",928,"ppm2",176
"vinni vald",2020,"house","EE009","EE006",901,"ppm2",221
"virunigula vald",2020,"house","EE009","EE006",903,"ppm2",316
"alutaguse vald",2020,"house","EE00A","EE007",130,"ppm2",205
"johvi vald",2020,"house","EE00A","EE007",251,"ppm2",458
"kohtlajarve linn",2020,"house","EE00A","EE007",321,"ppm2",210
"luganuse vald",2020,"house","EE00A","EE007",442,"ppm2",242
"narva linn",2020,"house","EE00A","EE007",511,"ppm2",352
"narvajoesuu linn",2020,"house","EE00A","EE007",514,"ppm2",612
"sillamae linn",2020,"house","EE00A","EE007",735,"ppm2",340
"toila vald",2020,"house","EE00A","EE007",803,"ppm2",301
"anija vald",2021,"house","EE001","EE001",141,"ppm2",890
"harku vald",2021,"house","EE001","EE001",198,"ppm2",1700
"joelahtme vald",2021,"house","EE001","EE001",245,"ppm2",1620
"keila linn",2021,"house","EE001","EE001",296,"ppm2",1362
"kiili vald",2021,"house","EE001","EE001",304,"ppm2",1689
"kose vald",2021,"house","EE001","EE001",338,"ppm2",1009
"kuusalu vald",2021,"house","EE001","EE001",353,"ppm2",1151
"laaneharju vald",2021,"house","EE001","EE001",431,"ppm2",1031
"loksa linn",2021,"house","EE001","EE001",424,"ppm2",637
"maardu linn",2021,"house","EE001","EE001",446,"ppm2",1659
"raasiku vald",2021,"house","EE001","EE001",651,"ppm2",1074
"rae vald",2021,"house","EE001","EE001",653,"ppm2",1766
"saku vald",2021,"house","EE001","EE001",718,"ppm2",1551
"saue vald",2021,"house","EE001","EE001",726,"ppm2",1111
"tallinn",2021,"house","EE001","EE001",784,"ppm2",2049
"viimsi vald",2021,"house","EE001","EE001",890,"ppm2",1713
"haademeeste vald",2021,"house","EE004","EE004",214,"ppm2",1021
"haapsalu linn",2021,"house","EE004","EE004",184,"ppm2",932
"hiiumaa vald",2021,"house","EE004","EE004",205,"ppm2",691
"kihnu vald",2021,"house","EE004","EE004",303,"ppm2",743
"laanenigula vald",2021,"house","EE004","EE004",441,"ppm2",595
"laaneranna vald",2021,"house","EE004","EE004",430,"ppm2",456
"muhu vald",2021,"house","EE004","EE004",478,"ppm2",1004
"parnu linn",2021,"house","EE004","EE004",624,"ppm2",1011
"pohjaparnumaa vald",2021,"house","EE004","EE004",638,"ppm2",313
"ruhnu vald",2021,"house","EE004","EE004",689,"ppm2",743
"saarde vald",2021,"house","EE004","EE004",712,"ppm2",418
"saaremaa vald",2021,"house","EE004","EE004",714,"ppm2",842
"tori vald",2021,"house","EE004","EE004",809,"ppm2",892
"vormsi vald",2021,"house","EE004","EE004",907,"ppm2",905
"antsla vald",2021,"house","EE008","EE008",142,"ppm2",472
"elva vald",2021,"house","EE008","EE008",171,"ppm2",617
"jogeva vald",2021,"house","EE008","EE008",247,"ppm2",641
"kambja vald",2021,"house","EE008","EE008",283,"ppm2",1370
"kanepi vald",2021,"house","EE008","EE008",284,"ppm2",525
"kastre vald",2021,"house","EE008","EE008",291,"ppm2",1194
"luunja vald",2021,"house","EE008","EE008",432,"ppm2",1396
"mulgi vald",2021,"house","EE008","EE008",480,"ppm2",238
"mustvee vald",2021,"house","EE008","EE008",486,"ppm2",332
"noo vald",2021,"house","EE008","EE008",528,"ppm2",1107
"otepaa vald",2021,"house","EE008","EE008",557,"ppm2",493
"peipsiaare vald",2021,"house","EE008","EE008",586,"ppm2",435
"pohjasakala vald",2021,"house","EE008","EE008",615,"ppm2",266
"poltsamaa vald",2021,"house","EE008","EE008",618,"ppm2",324
"polva vald",2021,"house","EE008","EE008",622,"ppm2",467
"rapina vald",2021,"house","EE008","EE008",708,"ppm2",324
"rouge vald",2021,"house","EE008","EE008",698,"ppm2",451
"setomaa vald",2021,"house","EE008","EE008",732,"ppm2",414
"tartu linn",2021,"house","EE008","EE008",793,"ppm2",1113
"tartu vald",2021,"house","EE008","EE008",796,"ppm2",840
"torva vald",2021,"house","EE008","EE008",824,"ppm2",276
