"Year","Object","Location of the object","Indicator","Quarter","value"
"2015","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","3rd quarter",3604603
"2015","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","4th quarter",5084114
"2015","Unimproved registered immovables","Põlva county","Number of transactions","1st-4th quarters",662
"2015","Unimproved registered immovables","Põlva county","Number of transactions","1st quarter",155
"2015","Unimproved registered immovables","Põlva county","Number of transactions","2nd quarter",200
"2015","Unimproved registered immovables","Põlva county","Number of transactions","3rd quarter",151
"2015","Unimproved registered immovables","Põlva county","Number of transactions","4th quarter",156
"2015","Unimproved registered immovables","Põlva county","Value of transactions, euros","1st-4th quarters",10807663
"2015","Unimproved registered immovables","Põlva county","Value of transactions, euros","1st quarter",2565137
"2015","Unimproved registered immovables","Põlva county","Value of transactions, euros","2nd quarter",3350264
"2015","Unimproved registered immovables","Põlva county","Value of transactions, euros","3rd quarter",2352570
"2015","Unimproved registered immovables","Põlva county","Value of transactions, euros","4th quarter",2539692
"2015","Unimproved registered immovables","Pärnu county","Number of transactions","1st-4th quarters",1204
"2015","Unimproved registered immovables","Pärnu county","Number of transactions","1st quarter",343
"2015","Unimproved registered immovables","Pärnu county","Number of transactions","2nd quarter",347
"2015","Unimproved registered immovables","Pärnu county","Number of transactions","3rd quarter",257
"2015","Unimproved registered immovables","Pärnu county","Number of transactions","4th quarter",257
"2015","Unimproved registered immovables","Pärnu county","Value of transactions, euros","1st-4th quarters",27659712
"2015","Unimproved registered immovables","Pärnu county","Value of transactions, euros","1st quarter",9092570
"2015","Unimproved registered immovables","Pärnu county","Value of transactions, euros","2nd quarter",5688557
"2015","Unimproved registered immovables","Pärnu county","Value of transactions, euros","3rd quarter",4849626
"2015","Unimproved registered immovables","Pärnu county","Value of transactions, euros","4th quarter",8028959
"2015","Unimproved registered immovables","Pärnu","Number of transactions","1st-4th quarters",70
"2015","Unimproved registered immovables","Pärnu","Number of transactions","1st quarter",11
"2015","Unimproved registered immovables","Pärnu","Number of transactions","2nd quarter",23
"2015","Unimproved registered immovables","Pärnu","Number of transactions","3rd quarter",10
"2015","Unimproved registered immovables","Pärnu","Number of transactions","4th quarter",26
"2015","Unimproved registered immovables","Pärnu","Value of transactions, euros","1st-4th quarters",4261595
"2015","Unimproved registered immovables","Pärnu","Value of transactions, euros","1st quarter",788115
"2015","Unimproved registered immovables","Pärnu","Value of transactions, euros","2nd quarter",713136
"2015","Unimproved registered immovables","Pärnu","Value of transactions, euros","3rd quarter",346600
"2015","Unimproved registered immovables","Pärnu","Value of transactions, euros","4th quarter",2413744
"2015","Unimproved registered immovables","Rapla county","Number of transactions","1st-4th quarters",783
"2015","Unimproved registered immovables","Rapla county","Number of transactions","1st quarter",191
"2015","Unimproved registered immovables","Rapla county","Number of transactions","2nd quarter",192
"2015","Unimproved registered immovables","Rapla county","Number of transactions","3rd quarter",152
"2015","Unimproved registered immovables","Rapla county","Number of transactions","4th quarter",248
"2015","Unimproved registered immovables","Rapla county","Value of transactions, euros","1st-4th quarters",16284877
"2015","Unimproved registered immovables","Rapla county","Value of transactions, euros","1st quarter",4372484
"2015","Unimproved registered immovables","Rapla county","Value of transactions, euros","2nd quarter",3600045
"2015","Unimproved registered immovables","Rapla county","Value of transactions, euros","3rd quarter",3519838
"2015","Unimproved registered immovables","Rapla county","Value of transactions, euros","4th quarter",4792510
"2015","Unimproved registered immovables","Saare county","Number of transactions","1st-4th quarters",1250
"2015","Unimproved registered immovables","Saare county","Number of transactions","1st quarter",223
"2015","Unimproved registered immovables","Saare county","Number of transactions","2nd quarter",425
"2015","Unimproved registered immovables","Saare county","Number of transactions","3rd quarter",269
"2015","Unimproved registered immovables","Saare county","Number of transactions","4th quarter",333
"2015","Unimproved registered immovables","Saare county","Value of transactions, euros","1st-4th quarters",17648570
"2015","Unimproved registered immovables","Saare county","Value of transactions, euros","1st quarter",3028436
"2015","Unimproved registered immovables","Saare county","Value of transactions, euros","2nd quarter",6012611
"2015","Unimproved registered immovables","Saare county","Value of transactions, euros","3rd quarter",3478846
"2015","Unimproved registered immovables","Saare county","Value of transactions, euros","4th quarter",5128677
"2015","Unimproved registered immovables","Tartu county","Number of transactions","1st-4th quarters",1266
"2015","Unimproved registered immovables","Tartu county","Number of transactions","1st quarter",304
"2015","Unimproved registered immovables","Tartu county","Number of transactions","2nd quarter",372
"2015","Unimproved registered immovables","Tartu county","Number of transactions","3rd quarter",266
"2015","Unimproved registered immovables","Tartu county","Number of transactions","4th quarter",324
"2015","Unimproved registered immovables","Tartu county","Value of transactions, euros","1st-4th quarters",33869723
"2015","Unimproved registered immovables","Tartu county","Value of transactions, euros","1st quarter",6125742
"2015","Unimproved registered immovables","Tartu county","Value of transactions, euros","2nd quarter",9165139
"2015","Unimproved registered immovables","Tartu county","Value of transactions, euros","3rd quarter",9945568
"2015","Unimproved registered immovables","Tartu county","Value of transactions, euros","4th quarter",8633274
"2015","Unimproved registered immovables","Tartu","Number of transactions","1st-4th quarters",77
"2015","Unimproved registered immovables","Tartu","Number of transactions","1st quarter",12
"2015","Unimproved registered immovables","Tartu","Number of transactions","2nd quarter",24
"2015","Unimproved registered immovables","Tartu","Number of transactions","3rd quarter",21
"2015","Unimproved registered immovables","Tartu","Number of transactions","4th quarter",20
"2015","Unimproved registered immovables","Tartu","Value of transactions, euros","1st-4th quarters",6525001
"2015","Unimproved registered immovables","Tartu","Value of transactions, euros","1st quarter",657380
"2015","Unimproved registered immovables","Tartu","Value of transactions, euros","2nd quarter",2092145
"2015","Unimproved registered immovables","Tartu","Value of transactions, euros","3rd quarter",1574976
"2015","Unimproved registered immovables","Tartu","Value of transactions, euros","4th quarter",2200500
"2015","Unimproved registered immovables","Valga county","Number of transactions","1st-4th quarters",524
