"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2001","Ascending total","Saare county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",3794.4
"2001","Ascending total","Saare county","Purchase-sale contracts of right of superficies","Number of contracts",5
"2001","Ascending total","Saare county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",372.9
"2001","Ascending total","Saare county","Purchase-sale contracts of movable assets**","Number of contracts",290
"2001","Ascending total","Saare county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",2289
"2001","Ascending total","Saare county","..purchase-sale contracts of residential buildings**","Number of contracts",72
"2001","Ascending total","Saare county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",619.8
"2001","Ascending total","Saare county","..purchase-sale contracts of dwellings**","Number of contracts",150
"2001","Ascending total","Saare county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",996.8
"2001","Ascending total","Saare county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",68
"2001","Ascending total","Saare county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",672.4
"2001","Ascending total","Tartu county","Purchase-sale contracts total","Number of contracts",3985
"2001","Ascending total","Tartu county","Purchase-sale contracts total","Value of contracts, thousand euros",60729.7
"2001","Ascending total","Tartu county","Purchase-sale contracts of real estate","Number of contracts",2529
"2001","Ascending total","Tartu county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",45354.1
"2001","Ascending total","Tartu county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",401
"2001","Ascending total","Tartu county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",5189.2
"2001","Ascending total","Tartu county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",654
"2001","Ascending total","Tartu county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",14378.8
"2001","Ascending total","Tartu county","..purchase-sale contracts of ownership of dwellings","Number of contracts",1359
"2001","Ascending total","Tartu county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",16510.4
"2001","Ascending total","Tartu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",115
"2001","Ascending total","Tartu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",9275.6
"2001","Ascending total","Tartu county","Purchase-sale contracts of right of superficies","Number of contracts",25
"2001","Ascending total","Tartu county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",576.1
